RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.40223850,0.84434500,0.42339420,0.40223850,0.84434500,0.42339420,0.40223850,0.84434500,0.42339420,0.38498700,0.86165120,0.42638590,0.36634540,0.87686510,0.42607320,0.34012340,0.88932910,0.43824340,0.31800060,0.90695580,0.45469100,0.37161190,0.93508270,0.42960010,0.35358430,0.95843140,0.45147420,0.33816400,0.96561210,0.46773530,0.38854060,0.93386080,0.44301540,0.35820610,0.93914210,0.47093570,0.35415180,0.91336020,0.46541970,0.39809970,0.92478130,0.45823710,0.36791290,0.92506440,0.48091720,0.36210000,0.90128480,0.47299400,0.40547970,0.87232940,0.45295670,0.40475410,0.91154600,0.47333640,0.37881660,0.91321380,0.48780230,0.37212640,0.89691930,0.47905510,0.29828250,0.91669240,0.46389620,0.32529820,0.97284070,0.48361510,0.36756080,0.90591510,0.44670100,0.37615270,0.89368690,0.45561360,0.38303540,0.88945030,0.46240510,13,1
0.40214830,0.84417420,0.42342300,0.40214830,0.84417420,0.42342300,0.40214830,0.84417420,0.42342300,0.38501950,0.86162760,0.42626160,0.36652440,0.87701740,0.42587350,0.34031080,0.88963440,0.43790330,0.31824230,0.90735690,0.45432100,0.37227970,0.93516670,0.42959290,0.35410690,0.95828960,0.45158620,0.33844760,0.96510370,0.46777660,0.38902280,0.93373730,0.44321890,0.35842450,0.93934300,0.47078590,0.35423690,0.91362330,0.46508230,0.39830180,0.92451190,0.45852600,0.36784920,0.92508970,0.48084230,0.36184480,0.90139320,0.47281330,0.40526660,0.87201450,0.45313440,0.40463980,0.91115810,0.47365720,0.37847360,0.91278970,0.48770920,0.37170260,0.89659350,0.47884250,0.29860800,0.91724400,0.46354520,0.32535280,0.97198840,0.48362190,0.36781410,0.90611070,0.44651250,0.37602080,0.89367530,0.45558660,0.38269630,0.88904420,0.46228470,13,1
0.40203550,0.84398930,0.42344280,0.40203550,0.84398930,0.42344280,0.40203550,0.84398930,0.42344280,0.38504060,0.86159420,0.42614740,0.36669900,0.87716510,0.42570010,0.34050410,0.88993700,0.43760660,0.31850040,0.90775230,0.45401080,0.37296400,0.93523750,0.42964460,0.35464520,0.95812260,0.45176520,0.33875200,0.96457210,0.46787680,0.38952360,0.93358910,0.44346870,0.35868860,0.93952350,0.47070120,0.35435360,0.91387250,0.46480150,0.39852470,0.92420980,0.45884790,0.36782800,0.92509470,0.48081700,0.36161560,0.90149040,0.47267580,0.40505350,0.87167130,0.45331210,0.40454800,0.91073130,0.47399700,0.37817050,0.91234800,0.48765020,0.37131010,0.89625900,0.47865800,0.29895510,0.91778680,0.46326450,0.32543170,0.97111210,0.48368010,0.36808250,0.90629350,0.44637070,0.37590090,0.89365520,0.45559290,0.38237790,0.88863530,0.46218390,13,1
0.40190490,0.84379330,0.42345550,0.40190490,0.84379330,0.42345550,0.40190490,0.84379330,0.42345550,0.38505300,0.86155270,0.42604180,0.36687010,0.87730990,0.42563680,0.34074310,0.89021010,0.43755410,0.31881390,0.90807950,0.45399890,0.37366080,0.93529490,0.42974480,0.35537700,0.95802650,0.45205180,0.33936290,0.96431010,0.46810920,0.39003760,0.93341880,0.44375640,0.35894970,0.93955710,0.47065410,0.35446370,0.91397980,0.46455120,0.39876220,0.92387980,0.45919670,0.36779330,0.92482100,0.48077800,0.36147690,0.90132960,0.47239400,0.40483920,0.87130550,0.45348940,0.40447170,0.91027240,0.47435200,0.37787200,0.91178200,0.48757980,0.37093310,0.89582010,0.47842280,0.29935130,0.91822420,0.46330700,0.32593340,0.97068570,0.48388720,0.36831300,0.90628780,0.44625770,0.37588720,0.89346740,0.45542900,0.38201960,0.88811580,0.46199880,13,1
0.40150370,0.84398040,0.42366060,0.40150370,0.84398040,0.42366060,0.40150370,0.84398040,0.42366060,0.38474290,0.86185550,0.42603240,0.36667710,0.87774530,0.42556850,0.34054690,0.89073720,0.43737860,0.31859730,0.90865010,0.45374890,0.37382280,0.93567110,0.42969690,0.35541920,0.95824190,0.45206860,0.33920710,0.96433710,0.46799920,0.38998030,0.93365530,0.44394180,0.35856290,0.94001030,0.47040290,0.35401210,0.91447780,0.46416200,0.39841130,0.92402920,0.45949080,0.36712200,0.92504160,0.48060150,0.36077680,0.90162120,0.47204240,0.40419640,0.87142220,0.45378160,0.40380280,0.91035680,0.47470400,0.37695220,0.91174510,0.48742840,0.37000570,0.89586430,0.47813710,0.29916430,0.91887840,0.46302700,0.32559070,0.97053360,0.48368830,0.36804730,0.90665560,0.44606660,0.37537400,0.89371020,0.45526080,0.38118030,0.88806470,0.46181810,13,1
0.40111120,0.84412680,0.42384510,0.40111120,0.84412680,0.42384510,0.40111120,0.84412680,0.42384510,0.38445520,0.86212440,0.42602120,0.36651530,0.87815460,0.42551110,0.34039070,0.89124450,0.43722520,0.31843510,0.90920310,0.45353730,0.37404750,0.93601310,0.42970050,0.35551990,0.95840560,0.45214900,0.33910730,0.96429590,0.46795110,0.38998630,0.93384270,0.44416720,0.35826520,0.94042750,0.47020630,0.35363450,0.91494660,0.46381530,0.39812330,0.92411840,0.45981140,0.36653380,0.92522920,0.48046510,0.36013790,0.90188800,0.47172930,0.40358740,0.87148120,0.45406380,0.40319510,0.91037190,0.47506780,0.37611080,0.91166070,0.48729790,0.36914670,0.89586980,0.47786740,0.29904000,0.91951890,0.46279760,0.32530100,0.97029640,0.48355010,0.36783950,0.90699700,0.44590890,0.37490620,0.89392320,0.45512370,0.38039950,0.88797980,0.46164590,13,1
0.40072560,0.84424090,0.42401310,0.40072560,0.84424090,0.42401310,0.40072560,0.84424090,0.42401310,0.38418590,0.86236620,0.42600900,0.36637710,0.87854250,0.42551680,0.34030130,0.89176000,0.43719630,0.31846410,0.90978410,0.45359480,0.37432070,0.93632640,0.42974700,0.35573750,0.95854100,0.45232580,0.33914930,0.96423180,0.46801710,0.39004070,0.93398980,0.44442570,0.35802900,0.94072010,0.47006890,0.35335300,0.91531220,0.46342500,0.39788310,0.92415920,0.46015380,0.36599340,0.92530260,0.48033910,0.35953510,0.90205120,0.47141150,0.40300410,0.87149510,0.45433780,0.40263380,0.91033230,0.47544070,0.37540610,0.91179160,0.48732840,0.36827850,0.89613960,0.47778920,0.29916580,0.92020900,0.46293520,0.32519450,0.97007360,0.48354400,0.36772590,0.90729810,0.44568200,0.37442020,0.89397720,0.45496390,0.37950970,0.88810180,0.46162540,13,1
0.40038120,0.84464880,0.42429940,0.40038120,0.84464880,0.42429940,0.40038120,0.84464880,0.42429940,0.38397140,0.86289850,0.42623360,0.36629500,0.87922260,0.42586820,0.34030860,0.89253250,0.43764170,0.31864090,0.91057010,0.45424900,0.37467570,0.93691530,0.43029650,0.35609890,0.95887510,0.45312850,0.33938270,0.96431390,0.46877330,0.39022770,0.93436610,0.44511810,0.35802970,0.94118760,0.47050270,0.35327790,0.91587460,0.46355680,0.39783070,0.92438250,0.46086720,0.36572470,0.92552520,0.48070680,0.35916440,0.90239320,0.47154650,0.40257800,0.87171160,0.45480110,0.40231400,0.91043080,0.47612150,0.37498590,0.91201280,0.48776050,0.36767150,0.89653010,0.47808740,0.29947070,0.92107300,0.46376390,0.32532490,0.96994190,0.48428630,0.36774740,0.90783950,0.44590200,0.37410420,0.89425860,0.45517840,0.37882620,0.88840120,0.46191620,13,1
0.40003800,0.84500990,0.42456460,0.40003800,0.84500990,0.42456460,0.40003800,0.84500990,0.42456460,0.38376410,0.86338710,0.42643790,0.36622400,0.87986000,0.42619370,0.34032450,0.89326270,0.43805300,0.31881870,0.91131110,0.45485760,0.37505300,0.93745600,0.43083330,0.35646370,0.95915420,0.45390400,0.33960880,0.96434000,0.46948580,0.39043150,0.93469050,0.44579650,0.35805090,0.94162190,0.47091770,0.35321880,0.91640750,0.46367520,0.39778950,0.92455330,0.46156390,0.36547050,0.92571810,0.48105330,0.35880390,0.90270950,0.47166200,0.40215320,0.87187930,0.45524250,0.40199960,0.91047750,0.47678210,0.37456920,0.91217850,0.48816090,0.36707680,0.89686860,0.47834980,0.29977350,0.92188950,0.46453880,0.32543670,0.96975080,0.48497200,0.36778280,0.90834370,0.44611140,0.37379900,0.89451290,0.45537560,0.37815920,0.88865450,0.46217200,13,1
0.39969580,0.84533410,0.42481300,0.39969580,0.84533410,0.42481300,0.39969580,0.84533410,0.42481300,0.38356290,0.86384110,0.42662670,0.36616440,0.88046410,0.42643070,0.34031860,0.89398080,0.43827760,0.31901900,0.91205650,0.45531410,0.37544740,0.93795670,0.43136220,0.35652480,0.95905770,0.45471410,0.33938940,0.96365460,0.47017450,0.39064730,0.93497230,0.44646520,0.35805640,0.94192900,0.47130590,0.35313670,0.91681830,0.46376810,0.39775550,0.92468170,0.46224780,0.36525500,0.92599500,0.48142330,0.35848390,0.90312020,0.47178310,0.40172860,0.87200860,0.45566610,0.40168770,0.91048320,0.47742620,0.37419760,0.91242500,0.48862080,0.36658060,0.89731400,0.47859980,0.30019450,0.92275160,0.46529380,0.32496990,0.96857220,0.48559660,0.36779020,0.90872140,0.44629420,0.37358340,0.89493500,0.45558770,0.37768270,0.88912550,0.46242230,13,1
