RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.45959870,0.86009170,0.28320920,0.45959870,0.86009170,0.28320920,0.45959870,0.86009170,0.28320920,0.44106970,0.87475520,0.29011800,0.42157880,0.88838930,0.29376240,0.39365690,0.89361760,0.30733070,0.36762670,0.90275550,0.32492520,0.42281570,0.94168750,0.31783550,0.40093850,0.96026720,0.34074430,0.38382930,0.96614990,0.35579230,0.43829840,0.93602870,0.33184650,0.40403350,0.92657580,0.35339130,0.40637250,0.90531090,0.33745700,0.44677510,0.92223920,0.34382610,0.41420900,0.91174280,0.35979440,0.41353950,0.89302880,0.34214850,0.45796710,0.87546910,0.32100410,0.45264430,0.90456260,0.35385270,0.42513100,0.89888230,0.36362750,0.42211150,0.88777110,0.34768360,0.34618510,0.90732930,0.33428910,0.36947370,0.97233270,0.37081350,0.42317970,0.90641790,0.32008140,0.43013640,0.89305620,0.32536090,0.43438880,0.88737390,0.33033070,13,7
0.45753300,0.85940810,0.28474570,0.45753300,0.85940810,0.28474570,0.45753300,0.85940810,0.28474570,0.43890940,0.87410940,0.29131100,0.41938580,0.88781820,0.29446800,0.39122590,0.89338340,0.30739510,0.36499780,0.90283390,0.32452450,0.42027560,0.94115200,0.31850460,0.39811100,0.95978240,0.34109360,0.38078490,0.96566190,0.35589260,0.43553150,0.93553050,0.33277700,0.40094270,0.92622800,0.35386500,0.40346160,0.90492110,0.33801450,0.44380750,0.92177670,0.34493650,0.41099170,0.91137650,0.36044990,0.41054880,0.89261350,0.34284900,0.45531950,0.87491860,0.32245640,0.44950410,0.90413080,0.35511570,0.42183070,0.89847760,0.36444400,0.41901660,0.88729580,0.34851190,0.34342340,0.90763640,0.33345910,0.36620490,0.97182540,0.37070420,0.42052270,0.90597110,0.32088450,0.42741990,0.89262370,0.32633690,0.43151930,0.88677970,0.33132390,13,7
0.45444910,0.85876910,0.28536060,0.45444910,0.85876910,0.28536060,0.45444910,0.85876910,0.28536060,0.43574990,0.87346640,0.29171660,0.41619630,0.88720980,0.29451780,0.38788220,0.89304020,0.30698310,0.36154950,0.90273550,0.32381250,0.41679300,0.94056540,0.31854510,0.39441620,0.95913150,0.34097740,0.37694540,0.96491970,0.35564170,0.43192820,0.93500510,0.33296910,0.39718170,0.92576230,0.35382280,0.39982580,0.90443090,0.33802560,0.44011270,0.92129760,0.34524230,0.40717830,0.91091690,0.36051550,0.40688230,0.89211300,0.34295530,0.45188140,0.87438790,0.32300410,0.44574020,0.90368890,0.35552390,0.41798760,0.89800270,0.36459320,0.41529430,0.88675540,0.34868640,0.33989500,0.90771350,0.33245240,0.36221300,0.97098820,0.37034130,0.41702180,0.90547260,0.32103050,0.42391280,0.89215000,0.32660760,0.42790720,0.88615910,0.33158160,13,7
0.45143660,0.85816240,0.28600920,0.45143660,0.85816240,0.28600920,0.45143660,0.85816240,0.28600920,0.43266670,0.87285970,0.29215340,0.41309200,0.88664220,0.29459170,0.38462940,0.89273670,0.30658320,0.35818900,0.90267760,0.32309780,0.41340380,0.94001950,0.31860910,0.39079130,0.95849220,0.34088160,0.37316580,0.96416630,0.35540460,0.42841500,0.93451820,0.33318450,0.39350860,0.92533740,0.35379710,0.39628130,0.90398290,0.33805330,0.43650310,0.92085590,0.34557160,0.40344850,0.91050150,0.36060110,0.40329840,0.89165550,0.34308420,0.44851690,0.87389170,0.32358090,0.44205600,0.90328400,0.35595610,0.41422540,0.89757200,0.36476660,0.41165300,0.88626070,0.34888510,0.33645590,0.90783150,0.33143150,0.35827120,0.97012080,0.36998700,0.41361390,0.90501500,0.32119710,0.42048800,0.89171540,0.32690400,0.42437870,0.88558380,0.33186700,13,7
0.44861270,0.85760460,0.28664690,0.44861270,0.85760460,0.28664690,0.44861270,0.85760460,0.28664690,0.42977910,0.87230380,0.29258830,0.41017210,0.88607390,0.29482850,0.38162190,0.89225670,0.30656390,0.35517330,0.90225360,0.32303140,0.41023690,0.93952380,0.31868390,0.38744360,0.95798060,0.34078470,0.36966840,0.96354930,0.35516530,0.42512770,0.93407710,0.33340270,0.39005680,0.92486520,0.35372010,0.39295280,0.90347030,0.33805350,0.43312080,0.92045750,0.34589790,0.39994480,0.91011660,0.36066690,0.39984710,0.89116220,0.34326700,0.44535980,0.87344000,0.32414670,0.43859910,0.90292040,0.35638020,0.41068820,0.89717260,0.36490890,0.40821190,0.88576010,0.34908470,0.33340380,0.90744480,0.33124610,0.35460320,0.96936990,0.36962590,0.41040720,0.90441880,0.32131840,0.41712480,0.89106950,0.32718100,0.42104120,0.88496010,0.33214990,13,7
0.44527420,0.85668610,0.28772290,0.44527420,0.85668610,0.28772290,0.44527420,0.85668610,0.28772290,0.42640810,0.87146600,0.29335240,0.40682690,0.88532340,0.29525580,0.37812670,0.89172490,0.30649760,0.35157770,0.90188710,0.32270010,0.40672470,0.93877500,0.31911040,0.38365270,0.95724370,0.34090990,0.36563960,0.96274230,0.35501900,0.42134990,0.93327010,0.33407170,0.38591690,0.92415550,0.35379600,0.38895550,0.90275050,0.33817030,0.42908060,0.91962060,0.34669890,0.39562240,0.90942190,0.36092010,0.39562470,0.89041230,0.34358020,0.44147570,0.87254580,0.32516100,0.43431310,0.90206370,0.35727320,0.40623380,0.89639880,0.36528900,0.40392190,0.88494450,0.34947010,0.32972990,0.90721820,0.33061180,0.35031760,0.96845560,0.36925070,0.40666630,0.90358110,0.32170050,0.41311960,0.89013960,0.32773280,0.41698270,0.88400730,0.33272050,13,7
0.44201480,0.85581770,0.28877820,0.44201480,0.85581770,0.28877820,0.44201480,0.85581770,0.28877820,0.42311960,0.87067290,0.29410450,0.40355770,0.88459190,0.29573540,0.37472270,0.89107390,0.30657910,0.34801600,0.90129480,0.32248290,0.40329410,0.93807170,0.31951620,0.37970550,0.95603850,0.34118190,0.36138170,0.96110360,0.35505110,0.41766270,0.93251990,0.33470710,0.38191160,0.92366800,0.35397170,0.38487810,0.90217860,0.33844830,0.42514290,0.91884850,0.34746070,0.39142950,0.90887760,0.36123350,0.39143860,0.88979730,0.34397140,0.43769260,0.87171390,0.32614400,0.43014250,0.90127790,0.35812480,0.40190030,0.89561230,0.36554600,0.39974100,0.88407090,0.34976900,0.32607250,0.90667750,0.33008880,0.34574260,0.96640970,0.36909430,0.40277020,0.90275910,0.32216480,0.40909480,0.88927940,0.32831020,0.41299550,0.88293600,0.33318440,13,7
0.43900500,0.85499660,0.29110000,0.43900500,0.85499660,0.29110000,0.43900500,0.85499660,0.29110000,0.42005540,0.86991430,0.29604440,0.40047080,0.88383790,0.29732650,0.37153870,0.89043470,0.30783730,0.34472430,0.90082230,0.32344900,0.39996750,0.93763730,0.32036480,0.37594090,0.95532330,0.34177860,0.35738310,0.96009210,0.35544020,0.41418880,0.93229270,0.33576720,0.37827300,0.92379420,0.35488410,0.38117970,0.90204670,0.33971280,0.42154760,0.91879460,0.34877340,0.38770510,0.90908240,0.36241420,0.38770790,0.88972090,0.34546810,0.43431540,0.87138580,0.32820760,0.42644720,0.90136890,0.35971800,0.39811990,0.89568220,0.36679060,0.39606960,0.88385210,0.35121410,0.32270980,0.90627430,0.33079630,0.34150300,0.96513860,0.36930760,0.39915760,0.90225960,0.32351510,0.40543960,0.88884710,0.32990830,0.40942670,0.88237210,0.33473960,13,7
0.43603110,0.85420640,0.29330430,0.43603110,0.85420640,0.29330430,0.43603110,0.85420640,0.29330430,0.41703210,0.86917920,0.29787870,0.39743090,0.88310710,0.29881450,0.36840320,0.88981980,0.30898280,0.34148290,0.90037130,0.32429970,0.39669830,0.93719270,0.32116180,0.37225050,0.95459530,0.34232970,0.35346970,0.95906840,0.35578520,0.41076950,0.93204300,0.33676720,0.37468930,0.92388190,0.35572080,0.37753370,0.90189740,0.34088290,0.41800310,0.91870880,0.35001060,0.38403150,0.90924400,0.36350360,0.38402750,0.88962430,0.34685720,0.43097750,0.87105250,0.33015870,0.42279810,0.90142120,0.36121730,0.39439170,0.89570470,0.36793980,0.39244950,0.88360610,0.35255690,0.31940000,0.90589340,0.33138440,0.33735920,0.96385430,0.36947800,0.39559710,0.90175930,0.32477960,0.40183650,0.88841440,0.33140860,0.40591080,0.88179890,0.33620020,13,7
0.43308680,0.85344110,0.29541540,0.43308680,0.85344110,0.29541540,0.43308680,0.85344110,0.29541540,0.41404300,0.86846270,0.29962920,0.39446140,0.88244280,0.30005920,0.36529510,0.88939030,0.30965730,0.33811630,0.90025900,0.32428000,0.39347800,0.93673960,0.32191720,0.36859890,0.95370950,0.34293340,0.34964480,0.95790950,0.35623290,0.40739660,0.93177500,0.33771810,0.37114910,0.92374410,0.35640610,0.37409810,0.90162010,0.34179770,0.41450170,0.91859760,0.35118620,0.38040550,0.90925390,0.36444730,0.38052880,0.88945090,0.34801970,0.42767270,0.87071530,0.33201960,0.41918840,0.90144290,0.36264030,0.39070550,0.89565010,0.36896190,0.38889770,0.88328310,0.35377720,0.31588760,0.90595540,0.33074380,0.33337170,0.96249280,0.36980220,0.39229240,0.90130870,0.32584510,0.39846970,0.88805710,0.33274020,0.40244210,0.88111900,0.33753290,13,7
