RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.39642860,0.86321360,0.43622100,0.39642860,0.86321360,0.43622100,0.39642860,0.86321360,0.43622100,0.39423360,0.88589160,0.44554630,0.40439190,0.90429320,0.45726210,0.41115920,0.93308570,0.46804410,0.41000370,0.96253680,0.48225480,0.37408110,0.92602720,0.50524910,0.35123710,0.95075430,0.51992390,0.33641320,0.96781790,0.52647060,0.35689630,0.91298310,0.50364420,0.34182520,0.94720880,0.48550340,0.35686640,0.93798050,0.46549900,0.34278260,0.90404960,0.49239650,0.33230950,0.93587850,0.47499110,0.34963100,0.92743150,0.45794250,0.36056510,0.87674000,0.45030700,0.33094120,0.89617150,0.47673880,0.32565780,0.92332390,0.46580140,0.34094420,0.91926560,0.45411220,0.41786350,0.98352890,0.49037270,0.32160120,0.98214970,0.53319010,0.37064900,0.91937340,0.47252960,0.35929910,0.90846550,0.46814560,0.34978430,0.90179520,0.46239790,13,0
0.39636090,0.86331370,0.43620360,0.39636090,0.86331370,0.43620360,0.39636090,0.86331370,0.43620360,0.39418140,0.88597810,0.44556540,0.40423100,0.90445970,0.45724910,0.41082400,0.93338040,0.46779340,0.40939350,0.96293350,0.48176520,0.37409060,0.92602930,0.50534550,0.35129310,0.95083530,0.51995950,0.33650720,0.96796800,0.52641110,0.35689970,0.91299390,0.50373420,0.34173010,0.94729360,0.48581660,0.35673460,0.93816720,0.46573810,0.34277390,0.90408300,0.49248390,0.33222130,0.93598560,0.47526270,0.34948280,0.92762870,0.45810930,0.36051340,0.87683150,0.45033850,0.33091740,0.89623310,0.47682350,0.32556760,0.92342050,0.46600580,0.34083500,0.91942710,0.45426950,0.41706050,0.98406830,0.48969500,0.32172530,0.98237300,0.53303970,0.37055120,0.91954330,0.47265680,0.35919980,0.90862070,0.46818690,0.34965270,0.90193330,0.46252980,13,0
0.39630620,0.86341330,0.43618600,0.39630620,0.86341330,0.43618600,0.39630620,0.86341330,0.43618600,0.39414010,0.88606630,0.44557860,0.40404040,0.90466060,0.45721060,0.41039480,0.93374620,0.46744350,0.40852800,0.96342860,0.48108600,0.37410470,0.92604630,0.50542500,0.35135810,0.95099190,0.51987960,0.33662260,0.96824660,0.52611770,0.35690900,0.91301780,0.50380960,0.34166320,0.94737260,0.48606310,0.35666790,0.93825540,0.46598060,0.34277240,0.90412530,0.49255820,0.33219600,0.93606650,0.47542340,0.34943770,0.92769440,0.45825760,0.36047300,0.87692310,0.45036480,0.33090210,0.89629900,0.47689660,0.32550230,0.92350730,0.46615670,0.34077710,0.91952960,0.45442460,0.41591570,0.98475460,0.48876490,0.32187950,0.98278910,0.53252890,0.37047700,0.91962210,0.47288900,0.35913570,0.90867030,0.46832320,0.34952120,0.90202290,0.46273540,13,0
0.39636160,0.86331980,0.43612520,0.39636160,0.86331980,0.43612520,0.39636160,0.86331980,0.43612520,0.39418620,0.88595860,0.44554960,0.40394000,0.90469030,0.45708470,0.41002360,0.93394840,0.46698480,0.40771250,0.96374150,0.48031420,0.37435090,0.92583350,0.50553260,0.35164670,0.95085250,0.51992700,0.33693910,0.96818240,0.52602080,0.35717980,0.91276370,0.50399110,0.34168760,0.94712460,0.48647110,0.35662730,0.93806000,0.46631650,0.34300930,0.90384640,0.49280220,0.33224180,0.93579350,0.47579770,0.34940920,0.92746050,0.45853850,0.36056630,0.87672720,0.45049550,0.33108030,0.89600500,0.47719270,0.32550860,0.92321580,0.46654740,0.34074830,0.91929900,0.45474940,0.41480270,0.98526550,0.48771610,0.32222140,0.98281440,0.53228500,0.37051410,0.91945740,0.47315170,0.35919200,0.90844830,0.46854440,0.34951120,0.90180590,0.46306910,13,0
0.39641560,0.86324890,0.43606740,0.39641560,0.86324890,0.43606740,0.39641560,0.86324890,0.43606740,0.39423190,0.88587520,0.44552010,0.40385970,0.90472320,0.45697130,0.40970610,0.93411390,0.46661850,0.40700600,0.96397800,0.47971370,0.37458050,0.92565670,0.50562550,0.35187740,0.95079430,0.51981340,0.33718420,0.96822860,0.52563830,0.35743220,0.91254920,0.50415170,0.34170950,0.94690400,0.48682620,0.35661600,0.93789360,0.46662270,0.34323090,0.90360880,0.49302030,0.33229300,0.93554910,0.47611220,0.34941360,0.92726740,0.45878190,0.36065590,0.87656350,0.45061180,0.33124860,0.89575290,0.47745910,0.32548660,0.92295120,0.46688330,0.34074880,0.91909720,0.45509380,0.41388510,0.98564420,0.48689690,0.32247710,0.98298510,0.53162960,0.37057760,0.91932870,0.47340770,0.35928010,0.90827300,0.46873930,0.34954350,0.90164020,0.46345570,13,0
0.39616490,0.86290260,0.43619070,0.39616490,0.86290260,0.43619070,0.39616490,0.86290260,0.43619070,0.39406720,0.88550670,0.44571570,0.40363670,0.90439550,0.45714850,0.40937010,0.93386470,0.46662230,0.40640180,0.96377870,0.47954430,0.37465810,0.92516490,0.50598110,0.35205340,0.95050350,0.51996720,0.33745260,0.96810000,0.52553050,0.35746850,0.91211190,0.50450410,0.34173580,0.94657990,0.48741400,0.35660940,0.93759470,0.46717500,0.34321780,0.90324640,0.49337590,0.33231360,0.93527540,0.47661440,0.34938350,0.92700000,0.45923140,0.36047490,0.87627770,0.45085010,0.33118000,0.89547220,0.47781650,0.32539400,0.92271090,0.46735840,0.34068530,0.91887140,0.45560180,0.41316080,0.98553280,0.48657420,0.32282020,0.98303750,0.53125010,0.37053440,0.91897990,0.47389840,0.35921450,0.90794910,0.46911580,0.34940360,0.90138580,0.46398380,13,0
0.39593750,0.86259400,0.43630140,0.39593750,0.86259400,0.43630140,0.39593750,0.86259400,0.43630140,0.39391840,0.88517740,0.44589220,0.40342340,0.90411170,0.45730340,0.40903370,0.93366130,0.46659890,0.40578950,0.96362290,0.47934340,0.37473490,0.92472150,0.50630470,0.35222310,0.95025250,0.52008930,0.33771160,0.96800240,0.52539310,0.35750810,0.91171780,0.50482680,0.34175700,0.94628910,0.48796410,0.35659970,0.93733110,0.46769050,0.34321190,0.90292000,0.49370340,0.33233110,0.93503090,0.47708400,0.34935210,0.92676630,0.45964780,0.36031230,0.87602250,0.45106940,0.33112230,0.89521990,0.47814720,0.32530510,0.92249450,0.46780060,0.34062520,0.91867280,0.45607580,0.41242130,0.98546590,0.48621690,0.32315260,0.98311110,0.53084370,0.37049430,0.91867220,0.47435410,0.35915460,0.90766380,0.46946040,0.34927310,0.90116260,0.46447940,13,0
0.39572890,0.86231520,0.43640240,0.39572890,0.86231520,0.43640240,0.39572890,0.86231520,0.43640240,0.39378250,0.88487910,0.44605400,0.40319570,0.90387890,0.45743230,0.40864010,0.93350600,0.46657840,0.40504090,0.96349360,0.47916560,0.37481150,0.92431630,0.50660320,0.35242010,0.94997010,0.52035600,0.33799840,0.96782180,0.52556180,0.35755090,0.91135750,0.50512640,0.34183160,0.94600570,0.48839220,0.35662930,0.93708590,0.46806890,0.34321190,0.90262190,0.49400880,0.33233350,0.93482170,0.47756060,0.34927360,0.92663030,0.46001140,0.36016480,0.87579140,0.45127380,0.33107370,0.89499000,0.47845700,0.32524230,0.92229400,0.46819630,0.34058180,0.91851190,0.45648400,0.41149880,0.98543100,0.48590280,0.32351700,0.98304410,0.53090220,0.37051210,0.91838140,0.47462850,0.35909390,0.90746520,0.46968330,0.34920540,0.90098040,0.46486810,13,0
0.39571480,0.86221370,0.43663200,0.39571480,0.86221370,0.43663200,0.39571480,0.86221370,0.43663200,0.39377900,0.88477770,0.44628560,0.40304800,0.90388550,0.45760140,0.40825760,0.93361880,0.46653730,0.40423630,0.96364880,0.47889330,0.37484470,0.92421720,0.50684480,0.35249760,0.94998070,0.52046380,0.33812020,0.96791610,0.52550230,0.35757950,0.91126360,0.50537430,0.34184280,0.94591590,0.48866490,0.35664460,0.93701660,0.46833560,0.34323340,0.90253300,0.49426210,0.33231660,0.93475760,0.47788820,0.34922060,0.92663000,0.46027480,0.36016080,0.87569970,0.45151870,0.33108650,0.89490560,0.47871480,0.32519990,0.92220190,0.46846530,0.34058300,0.91846180,0.45679670,0.41047110,0.98570410,0.48545360,0.32367640,0.98323340,0.53067010,0.37054440,0.91831180,0.47485820,0.35908190,0.90744750,0.46987030,0.34920460,0.90094680,0.46521730,13,0
0.39569730,0.86211780,0.43684430,0.39569730,0.86211780,0.43684430,0.39569730,0.86211780,0.43684430,0.39377380,0.88468120,0.44650190,0.40290300,0.90389180,0.45775700,0.40788400,0.93372540,0.46648670,0.40345310,0.96378930,0.47861800,0.37488270,0.92411890,0.50707570,0.35258110,0.94999140,0.52056200,0.33824910,0.96800890,0.52543390,0.35761260,0.91117120,0.50561220,0.34185580,0.94583020,0.48893570,0.35665890,0.93695340,0.46859750,0.34325810,0.90244670,0.49450610,0.33230270,0.93469740,0.47820950,0.34916920,0.92663290,0.46053130,0.36015520,0.87561350,0.45175060,0.33110090,0.89482530,0.47896380,0.32515880,0.92211520,0.46872930,0.34058280,0.91841720,0.45710130,0.40947050,0.98595570,0.48500440,0.32384410,0.98341950,0.53042980,0.37057580,0.91824730,0.47508010,0.35907060,0.90743260,0.47004940,0.34920180,0.90091720,0.46555580,13,0
