RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.09123132,0.84981850,0.32310500,0.09123132,0.84981850,0.32310500,0.09123132,0.84981850,0.32310500,0.08114579,0.86969020,0.33356770,0.08134831,0.88590740,0.35134500,0.07705247,0.91194270,0.36851390,0.06746383,0.93689330,0.38738610,0.02920559,0.89422600,0.38133400,0.00178874,0.91857020,0.37925960,-0.01288701,0.93625700,0.37420260,0.01721127,0.88058460,0.36958270,0.01226602,0.91590680,0.34824000,0.03735683,0.91091770,0.34068150,0.01163709,0.87327470,0.35166600,0.01259797,0.90617870,0.33316980,0.03752051,0.90151540,0.32879280,0.05119874,0.85720610,0.31988180,0.00989534,0.86812320,0.33122410,0.01416985,0.89573990,0.32103370,0.03344380,0.89533950,0.31714300,0.06686501,0.95569510,0.40203120,-0.02619497,0.95213940,0.36783110,0.04693141,0.89248550,0.35309920,0.04214500,0.88190570,0.34109550,0.03999454,0.87722840,0.32614820,13,7
0.09299187,0.84938900,0.32381840,0.09299187,0.84938900,0.32381840,0.09299187,0.84938900,0.32381840,0.08304667,0.86923720,0.33445860,0.08346440,0.88549380,0.35219600,0.07932493,0.91153590,0.36939310,0.06976405,0.93649600,0.38826690,0.03186232,0.89365520,0.38309330,0.00436793,0.91792850,0.38122270,-0.01033177,0.93560610,0.37620350,0.01969863,0.87999980,0.37153400,0.01426559,0.91531720,0.35030230,0.03928056,0.91044630,0.34242220,0.01384114,0.87269040,0.35370770,0.01437242,0.90561810,0.33523620,0.03923551,0.90101160,0.33047750,0.05289869,0.85670890,0.32126300,0.01176999,0.86754780,0.33329430,0.01596096,0.89514490,0.32301680,0.03517434,0.89469710,0.31884210,0.06920181,0.95535830,0.40283550,-0.02366655,0.95147750,0.36986100,0.04909524,0.89204990,0.35470490,0.04408474,0.88140520,0.34269870,0.04181807,0.87657920,0.32776480,13,7
0.09477171,0.84895910,0.32450810,0.09477171,0.84895910,0.32450810,0.09477171,0.84895910,0.32450810,0.08495259,0.86878120,0.33531290,0.08553261,0.88510420,0.35298470,0.08144156,0.91111000,0.37024810,0.07183687,0.93601040,0.38917850,0.03447959,0.89306850,0.38474990,0.00685662,0.91721050,0.38308810,-0.00789899,0.93485300,0.37810940,0.02216572,0.87939460,0.37337280,0.01624220,0.91472270,0.35229050,0.04113379,0.91000140,0.34394250,0.01604717,0.87208310,0.35563530,0.01620944,0.90502410,0.33718070,0.04101315,0.90054020,0.33201270,0.05462896,0.85619880,0.32257940,0.01366999,0.86694740,0.33525350,0.01782817,0.89451410,0.32488160,0.03692720,0.89410630,0.32020780,0.07118349,0.95490850,0.40369670,-0.02128059,0.95069500,0.37179160,0.05126825,0.89163040,0.35600140,0.04615355,0.88094120,0.34412620,0.04388864,0.87599190,0.32889260,13,7
0.09722218,0.84879960,0.32423660,0.09722218,0.84879960,0.32423660,0.09722218,0.84879960,0.32423660,0.08758789,0.86866070,0.33513550,0.08834852,0.88507780,0.35271310,0.08438060,0.91110600,0.36997140,0.07480110,0.93603370,0.38887860,0.03778996,0.89314150,0.38515820,0.01017761,0.91730120,0.38357720,-0.00452510,0.93497760,0.37856260,0.02530181,0.87948520,0.37395130,0.01912256,0.91481090,0.35293860,0.04389129,0.91009870,0.34422790,0.01894658,0.87216700,0.35630000,0.01895013,0.90508640,0.33780620,0.04368469,0.90059660,0.33232170,0.05707751,0.85614080,0.32279250,0.01630548,0.86701150,0.33595570,0.02058165,0.89450870,0.32544790,0.03956936,0.89404160,0.32034580,0.07411018,0.95499890,0.40330730,-0.01785228,0.95084820,0.37220180,0.05420570,0.89172820,0.35613410,0.04897928,0.88100360,0.34437860,0.04672389,0.87591410,0.32884410,13,7
0.09963214,0.84861810,0.32402600,0.09963214,0.84861810,0.32402600,0.09963214,0.84861810,0.32402600,0.09016727,0.86851070,0.33501570,0.09109073,0.88501730,0.35250130,0.08722906,0.91106810,0.36974970,0.07766104,0.93601910,0.38863200,0.04101545,0.89314710,0.38559780,0.01341357,0.91732350,0.38409190,-0.00123794,0.93503150,0.37903920,0.02836809,0.87950300,0.37455580,0.02192393,0.91482580,0.35361770,0.04657345,0.91013190,0.34456570,0.02178922,0.87217760,0.35698960,0.02162143,0.90507860,0.33846380,0.04628800,0.90059510,0.33267620,0.05948775,0.85603760,0.32305020,0.01889651,0.86700440,0.33668400,0.02327026,0.89443450,0.32604190,0.04214055,0.89392310,0.32052530,0.07692344,0.95504920,0.40297260,-0.01451296,0.95092820,0.37263440,0.05706280,0.89176540,0.35632420,0.05173824,0.88100920,0.34467510,0.04949018,0.87578510,0.32883240,13,7
0.10201010,0.84841930,0.32386340,0.10201010,0.84841930,0.32386340,0.10201010,0.84841930,0.32386340,0.09270273,0.86833750,0.33494100,0.09378299,0.88492300,0.35234280,0.09003082,0.91099830,0.36957820,0.08048905,0.93597330,0.38844200,0.04417503,0.89310010,0.38606120,0.01670484,0.91743120,0.38464050,0.00224736,0.93526720,0.37948020,0.03138050,0.87946410,0.37517990,0.02480504,0.91477790,0.35426750,0.04931801,0.90999020,0.34489930,0.02458835,0.87213090,0.35769830,0.02424767,0.90501620,0.33914690,0.04883191,0.90055440,0.33300320,0.06186838,0.85589910,0.32334310,0.02145376,0.86694160,0.33743290,0.02577956,0.89434430,0.32670110,0.04451892,0.89396410,0.32074510,0.07971698,0.95506450,0.40269940,-0.01083810,0.95127400,0.37296070,0.05989995,0.89160460,0.35654460,0.05447497,0.88097130,0.34491690,0.05221201,0.87585160,0.32879310,13,7
0.10483330,0.84870150,0.32340840,0.10483330,0.84870150,0.32340840,0.10483330,0.84870150,0.32340840,0.09556630,0.86859110,0.33457090,0.09664232,0.88519450,0.35195590,0.09282797,0.91122950,0.36923850,0.08313251,0.93614810,0.38809870,0.04723117,0.89322160,0.38593680,0.01986079,0.91766270,0.38447940,0.00560033,0.93561320,0.37917010,0.03439657,0.87961140,0.37507030,0.02778853,0.91497850,0.35425870,0.05224523,0.91017320,0.34475340,0.02753864,0.87232110,0.35759650,0.02711503,0.90525510,0.33913370,0.05166922,0.90087400,0.33281440,0.06468919,0.85617850,0.32305940,0.02432745,0.86718180,0.33733030,0.02864575,0.89460100,0.32663750,0.04729437,0.89439850,0.32039480,0.08219092,0.95524760,0.40233470,-0.00727993,0.95172370,0.37249920,0.06285866,0.89174620,0.35630420,0.05743855,0.88126100,0.34461820,0.05528333,0.87629740,0.32817560,13,7
0.10759700,0.84893230,0.32301050,0.10759700,0.84893230,0.32301050,0.10759700,0.84893230,0.32301050,0.09837233,0.86879400,0.33425720,0.09944976,0.88541810,0.35162230,0.09557960,0.91141670,0.36894730,0.08574000,0.93628140,0.38780390,0.05024958,0.89329500,0.38588380,0.02297112,0.91783710,0.38440160,0.00889586,0.93589210,0.37895400,0.03737251,0.87970580,0.37504130,0.03071254,0.91511980,0.35432620,0.05511052,0.91030190,0.34467750,0.03044225,0.87245310,0.35758040,0.02992174,0.90543140,0.33919930,0.05444308,0.90113340,0.33269790,0.06744985,0.85639890,0.32284920,0.02714625,0.86735880,0.33731650,0.03144889,0.89479200,0.32665330,0.05000080,0.89476320,0.32012580,0.08463725,0.95539030,0.40201580,-0.00379170,0.95209620,0.37214210,0.06576361,0.89183930,0.35613440,0.06034431,0.88149520,0.34439410,0.05827739,0.87667860,0.32763990,13,7
0.11031610,0.84912220,0.32265770,0.11031610,0.84912220,0.32265770,0.11031610,0.84912220,0.32265770,0.10113530,0.86895660,0.33398820,0.10219890,0.88562040,0.35131600,0.09842095,0.91188740,0.36825210,0.08876630,0.93703650,0.38682510,0.05324095,0.89333000,0.38588690,0.02612647,0.91805060,0.38436110,0.01230977,0.93624970,0.37873410,0.04031958,0.87975820,0.37507550,0.03363394,0.91519030,0.35439970,0.05803491,0.91040810,0.34474090,0.03331189,0.87253890,0.35763160,0.03275505,0.90554150,0.33929500,0.05726513,0.90127760,0.33272900,0.07016557,0.85657240,0.32269690,0.02992462,0.86748550,0.33737250,0.03425347,0.89491700,0.32671570,0.05279481,0.89492820,0.32015810,0.08789713,0.95633310,0.40079750,-0.00009851,0.95258590,0.37172620,0.06870784,0.89194150,0.35617300,0.06321566,0.88162570,0.34437710,0.06105971,0.87683170,0.32765640,13,7
0.11298740,0.84876010,0.32303610,0.11298740,0.84876010,0.32303610,0.11298740,0.84876010,0.32303610,0.10381540,0.86856510,0.33442520,0.10482980,0.88528120,0.35170560,0.10108400,0.91180120,0.36825000,0.09153983,0.93721370,0.38651900,0.05607071,0.89279400,0.38652900,0.02908264,0.91764730,0.38492090,0.01549664,0.93595760,0.37909620,0.04313228,0.87921460,0.37574750,0.03639376,0.91464180,0.35508030,0.06080898,0.90991460,0.34543040,0.03607289,0.87200600,0.35832010,0.03545246,0.90501810,0.34000280,0.05996138,0.90081550,0.33339310,0.07282512,0.85614440,0.32323100,0.03262009,0.86697260,0.33806700,0.03694897,0.89439990,0.32739940,0.05547952,0.89447480,0.32081190,0.09083858,0.95669480,0.40024260,0.00334282,0.95239330,0.37187810,0.07151475,0.89146470,0.35685870,0.06597795,0.88116640,0.34501190,0.06376529,0.87638380,0.32830050,13,7
