RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.36545690,0.82765720,0.31203870,0.36545690,0.82765720,0.31203870,0.36545690,0.82765720,0.31203870,0.36301510,0.84772150,0.32609330,0.36977720,0.86558810,0.34072650,0.37123990,0.89388270,0.35445000,0.36201610,0.92057420,0.37097660,0.34258610,0.87358900,0.39313760,0.31967620,0.90052570,0.40304620,0.30785640,0.92064270,0.39998480,0.32555860,0.86098930,0.38873810,0.31001650,0.89800200,0.37796180,0.32600910,0.89253910,0.35732290,0.31151550,0.85454600,0.37582340,0.30265930,0.88897810,0.36310710,0.31982330,0.88341620,0.34476330,0.32948040,0.83731750,0.32877030,0.29971530,0.85012470,0.35883370,0.29842660,0.87851610,0.35005520,0.31268170,0.87284970,0.33774810,0.35919620,0.94187750,0.38129930,0.29884110,0.93852830,0.39169150,0.34018180,0.87311110,0.36002620,0.33070520,0.86292330,0.34911190,0.32303550,0.85442050,0.34002360,13,4
0.36650840,0.83000140,0.31345060,0.36650840,0.83000140,0.31345060,0.36650840,0.83000140,0.31345060,0.36393390,0.85017800,0.32731950,0.37051180,0.86828150,0.34174390,0.37166320,0.89674840,0.35513690,0.36212290,0.92351050,0.37136700,0.34346030,0.87651340,0.39416770,0.32015120,0.90313460,0.40399770,0.30799240,0.92305460,0.40097640,0.32652820,0.86372980,0.38993380,0.31061820,0.90050720,0.37889220,0.32658740,0.89504250,0.35823570,0.31250670,0.85704570,0.37711840,0.30317720,0.89130720,0.36428030,0.32038210,0.88581480,0.34595380,0.33049500,0.83951910,0.33018440,0.30070040,0.85236310,0.36020300,0.29892030,0.88070080,0.35133740,0.31340900,0.87530560,0.33918210,0.35897740,0.94488550,0.38144470,0.29858180,0.94080630,0.39283600,0.34094000,0.87576720,0.36107950,0.33144580,0.86546320,0.35050230,0.32406570,0.85707690,0.34166460,13,4
0.36612090,0.83305660,0.31388740,0.36612090,0.83305660,0.31388740,0.36612090,0.83305660,0.31388740,0.36364140,0.85324640,0.32775440,0.37025170,0.87140170,0.34209870,0.37139620,0.89989820,0.35542900,0.36185630,0.92665790,0.37166320,0.34362510,0.87964530,0.39471600,0.32021840,0.90613620,0.40466500,0.30792400,0.92599710,0.40180750,0.32666430,0.86685800,0.39060990,0.31065830,0.90362650,0.37967790,0.32647130,0.89819250,0.35889350,0.31255560,0.86016200,0.37789690,0.30301130,0.89443180,0.36524000,0.32013830,0.88900490,0.34682130,0.33022270,0.84259080,0.33085770,0.30063400,0.85546370,0.36106690,0.29858520,0.88382610,0.35233920,0.31319130,0.87866080,0.34022460,0.35862100,0.94803090,0.38171650,0.29829000,0.94374480,0.39392370,0.34085200,0.87892520,0.36164710,0.33123780,0.86866640,0.35134110,0.32399580,0.86052000,0.34271250,13,4
0.36577680,0.83607720,0.31434330,0.36577680,0.83607720,0.31434330,0.36577680,0.83607720,0.31434330,0.36337940,0.85628400,0.32820000,0.37001290,0.87449620,0.34246120,0.37114050,0.90301820,0.35573840,0.36160080,0.92977080,0.37198450,0.34378730,0.88276200,0.39525580,0.32029130,0.90916400,0.40523070,0.30788350,0.92896770,0.40246830,0.32680530,0.86996280,0.39127630,0.31069790,0.90671220,0.38042890,0.32636390,0.90130100,0.35952750,0.31261700,0.86324500,0.37866370,0.30286440,0.89750980,0.36615300,0.31992520,0.89213810,0.34765680,0.32998570,0.84561960,0.33153370,0.30058840,0.85852030,0.36191750,0.29827440,0.88689730,0.35330430,0.31299010,0.88194810,0.34123210,0.35827340,0.95113750,0.38202140,0.29805620,0.94669490,0.39477940,0.34077850,0.88204760,0.36220060,0.33107150,0.87182020,0.35215460,0.32394270,0.86389790,0.34373160,13,4
0.36547080,0.83900990,0.31480310,0.36547080,0.83900990,0.31480310,0.36547080,0.83900990,0.31480310,0.36314430,0.85923600,0.32864380,0.36976290,0.87752470,0.34281370,0.37080400,0.90616860,0.35583320,0.36112510,0.93299030,0.37188180,0.34394380,0.88580200,0.39577800,0.32043260,0.91219750,0.40573440,0.30794200,0.93196050,0.40305480,0.32694650,0.87298570,0.39192140,0.31061940,0.90969960,0.38128450,0.32616170,0.90446870,0.36024530,0.31268600,0.86623940,0.37940570,0.30269500,0.90050860,0.36709690,0.31964000,0.89523710,0.34846590,0.32977880,0.84855450,0.33219720,0.30055870,0.86148150,0.36274040,0.29772450,0.88993750,0.35455370,0.31248850,0.88532660,0.34240670,0.35768350,0.95442150,0.38174090,0.29794210,0.94966770,0.39554440,0.34067130,0.88526980,0.36279300,0.33080140,0.87492810,0.35296600,0.32360400,0.86736180,0.34479980,13,4
0.36498570,0.84195970,0.31528660,0.36498570,0.84195970,0.31528660,0.36498570,0.84195970,0.31528660,0.36276030,0.86204270,0.32935050,0.36939340,0.88021740,0.34365970,0.37040710,0.90880740,0.35679910,0.36065170,0.93551430,0.37299210,0.34392440,0.88793220,0.39685120,0.32045160,0.91427020,0.40704770,0.30793970,0.93405570,0.40464860,0.32688640,0.87518630,0.39294060,0.31045930,0.91202790,0.38291700,0.32589230,0.90717520,0.36170750,0.31255510,0.86859680,0.38042240,0.30243440,0.90303490,0.36870520,0.31928210,0.89804300,0.34990960,0.32939320,0.85138140,0.33294960,0.30034080,0.86403560,0.36376560,0.29709480,0.89264850,0.35631170,0.31190870,0.88847000,0.34406950,0.35713710,0.95688690,0.38295210,0.29783460,0.95185110,0.39749590,0.34043990,0.88796380,0.36392300,0.33041230,0.87766590,0.35417270,0.32313510,0.87053720,0.34616650,13,4
0.36454070,0.84489260,0.31577900,0.36454070,0.84489260,0.31577900,0.36454070,0.84489260,0.31577900,0.36240730,0.86484850,0.33003670,0.36904870,0.88292890,0.34446090,0.37005390,0.91134040,0.35798280,0.36041010,0.93782980,0.37459450,0.34392150,0.89014140,0.39785970,0.32051260,0.91637020,0.40847560,0.30795070,0.93616690,0.40646060,0.32684890,0.87745320,0.39391250,0.31041240,0.91440890,0.38433450,0.32569450,0.90982810,0.36295590,0.31245060,0.87099670,0.38140190,0.30222030,0.90556210,0.37016430,0.31899260,0.90088770,0.35122030,0.32904360,0.85419640,0.33369470,0.30015240,0.86660380,0.36476150,0.29679790,0.89530920,0.35772260,0.31153900,0.89127670,0.34534420,0.35714150,0.95909380,0.38486580,0.29767320,0.95404830,0.39978400,0.34022920,0.89058150,0.36493900,0.33015610,0.88047410,0.35521360,0.32273410,0.87329970,0.34721880,13,4
0.36410820,0.84710210,0.31650130,0.36410820,0.84710210,0.31650130,0.36410820,0.84710210,0.31650130,0.36205470,0.86708950,0.33072670,0.36869990,0.88524500,0.34505450,0.36968140,0.91363030,0.35863280,0.36013650,0.94007730,0.37536870,0.34395420,0.89253150,0.39859770,0.32058790,0.91875300,0.40932500,0.30795930,0.93852140,0.40745440,0.32686030,0.87983350,0.39477610,0.31035870,0.91677020,0.38523640,0.32547630,0.91223080,0.36373220,0.31239130,0.87334850,0.38236220,0.30200140,0.90789530,0.37121420,0.31868620,0.90333410,0.35216550,0.32871320,0.85644350,0.33459840,0.29999870,0.86891790,0.36580200,0.29649620,0.89762560,0.35884490,0.31116720,0.89362080,0.34637470,0.35707490,0.96133890,0.38570880,0.29750040,0.95639090,0.40103230,0.34002480,0.89299180,0.36568640,0.32991250,0.88294570,0.35611100,0.32236310,0.87564200,0.34822670,13,4
0.36370180,0.84935680,0.31721170,0.36370180,0.84935680,0.31721170,0.36370180,0.84935680,0.31721170,0.36172230,0.86937460,0.33140470,0.36836580,0.88760520,0.34563760,0.36931900,0.91596200,0.35927740,0.35986970,0.94236280,0.37614020,0.34399430,0.89496030,0.39932000,0.32066480,0.92117830,0.41013550,0.30797200,0.94091750,0.40839450,0.32688280,0.88224970,0.39562170,0.31031170,0.91916440,0.38611780,0.32526730,0.91466680,0.36449200,0.31234650,0.87573360,0.38330310,0.30179300,0.91025910,0.37224330,0.31839420,0.90581200,0.35309490,0.32840590,0.85872840,0.33548600,0.29986270,0.87126360,0.36682220,0.29620650,0.89997150,0.35994580,0.31081670,0.89600170,0.34739340,0.35700170,0.96361730,0.38654990,0.29733890,0.95876980,0.40221530,0.33983230,0.89543750,0.36641900,0.32968740,0.88545140,0.35699310,0.32202160,0.87802670,0.34922770,13,4
0.36331610,0.85164690,0.31791290,0.36331610,0.85164690,0.31791290,0.36331610,0.85164690,0.31791290,0.36140610,0.87169460,0.33207320,0.36803680,0.89000370,0.34621100,0.36894180,0.91836010,0.35985510,0.35934950,0.94469150,0.37674530,0.34404070,0.89742000,0.40002950,0.32070990,0.92348540,0.41120500,0.30791810,0.94317990,0.40969820,0.32691460,0.88469400,0.39645280,0.31020980,0.92157820,0.38706480,0.32501810,0.91718210,0.36531720,0.31231360,0.87814530,0.38422840,0.30163560,0.91264340,0.37320260,0.31814980,0.90825970,0.35396450,0.32811720,0.86104330,0.33636060,0.29974130,0.87363430,0.36782610,0.29599440,0.90233610,0.36097290,0.31051550,0.89836210,0.34831880,0.35652960,0.96595080,0.38715850,0.29712100,0.96102010,0.40377370,0.33963370,0.89798400,0.36717070,0.32946100,0.88791470,0.35789110,0.32170120,0.88037400,0.35014170,13,4
0.36278240,0.85396360,0.31902230,0.36278240,0.85396360,0.31902230,0.36278240,0.85396360,0.31902230,0.36091710,0.87404610,0.33313920,0.36749710,0.89240730,0.34723300,0.36835910,0.92075190,0.36090420,0.35860210,0.94704140,0.37776560,0.34351260,0.89996850,0.40101050,0.32020480,0.92598260,0.41235250,0.30740870,0.94568380,0.41097770,0.32634770,0.88729730,0.39742560,0.30972660,0.92422000,0.38804030,0.32452830,0.91987660,0.36627760,0.31174690,0.88077700,0.38518570,0.30116020,0.91529250,0.37412630,0.31771570,0.91091790,0.35492170,0.32758180,0.86352330,0.33738270,0.29919040,0.87627890,0.36876790,0.29550910,0.90499150,0.36192480,0.31002450,0.90096570,0.34928050,0.35584180,0.96831140,0.38817290,0.29656270,0.96355330,0.40523360,0.33910370,0.90065100,0.36816170,0.32893420,0.89054320,0.35895950,0.32110820,0.88292180,0.35117440,13,4
0.36227480,0.85630100,0.32009200,0.36227480,0.85630100,0.32009200,0.36227480,0.85630100,0.32009200,0.36045370,0.87641720,0.33416660,0.36698590,0.89483200,0.34821280,0.36780410,0.92316500,0.36191070,0.35789170,0.94941020,0.37875030,0.34303840,0.90252870,0.40196260,0.31975070,0.92849390,0.41345720,0.30694600,0.94819780,0.41220530,0.32583850,0.88990460,0.39837930,0.30928220,0.92685820,0.38900140,0.32406750,0.92256880,0.36721690,0.31123400,0.88340600,0.38613230,0.30071680,0.91793370,0.37504460,0.31730480,0.91357390,0.35586480,0.32707950,0.86600790,0.33838520,0.29868580,0.87891500,0.36970620,0.29505090,0.90763650,0.36287530,0.30955920,0.90356800,0.35023630,0.35519310,0.97068950,0.38915480,0.29604590,0.96608940,0.40663510,0.33861090,0.90332130,0.36912510,0.32844290,0.89317570,0.36000480,0.32055340,0.88547640,0.35219510,13,4
0.36178790,0.85865490,0.32113050,0.36178790,0.85865490,0.32113050,0.36178790,0.85865490,0.32113050,0.36001010,0.87880390,0.33516360,0.36639810,0.89732550,0.34913550,0.36699170,0.92581750,0.36251130,0.35659410,0.95211460,0.37897330,0.34260620,0.90509800,0.40289200,0.31933760,0.93101880,0.41452430,0.30655000,0.95073660,0.41331710,0.32537430,0.89251500,0.39931780,0.30883160,0.92951260,0.39009060,0.32354920,0.92520600,0.36826370,0.31076280,0.88603310,0.38707020,0.30026560,0.92060100,0.37608950,0.31677300,0.91618790,0.35685230,0.32660320,0.86849640,0.33937220,0.29821710,0.88154470,0.37064150,0.29438190,0.91029420,0.36404190,0.30896350,0.90637730,0.35143970,0.35372810,0.97350660,0.38909810,0.29564620,0.96864740,0.40781590,0.33801560,0.90590800,0.37024540,0.32778020,0.89573720,0.36108280,0.31992600,0.88827560,0.35348130,13,4
0.36125730,0.86151840,0.32120110,0.36125730,0.86151840,0.32120110,0.36125730,0.86151840,0.32120110,0.35962390,0.88159270,0.33535830,0.36596350,0.90003250,0.34945990,0.36653630,0.92854420,0.36279460,0.35582990,0.95483430,0.37906860,0.34204720,0.90764170,0.40313670,0.31896920,0.93363930,0.41497560,0.30639330,0.95350060,0.41390480,0.32468900,0.89529630,0.39935170,0.30857490,0.93257060,0.39048640,0.32332570,0.92830300,0.36867410,0.31008930,0.88907770,0.38695440,0.30001350,0.92387550,0.37630990,0.31653030,0.91942600,0.35708920,0.32606300,0.87166940,0.33925380,0.29761040,0.88485520,0.37040470,0.29390560,0.91371860,0.36424240,0.30859860,0.90990780,0.35173730,0.35295480,0.97626670,0.38910500,0.29568850,0.97157940,0.40856510,0.33752110,0.90880370,0.37064580,0.32718870,0.89878730,0.36129980,0.31933830,0.89167230,0.35377220,13,4
